firma1,beziehung,firma2
Junghennenaufzuchtanlage Brachstedt,hat die Muttergesellschaft,Spreenhagener Vermehrungsbetrieb für Legehennen GmbH
Klärwerk Magdeburg/ Gerwisch,hat die Muttergesellschaft,Abwassergesellschaft mbH Magdeburg
Klärwerk Magdeburg/ Gerwisch,hat den Betreiber,Städtische Werke Magdeburg GmbH
Stadtwirtschaft GmbH Halle,hat die Muttergesellschaft,Stadtwerke Halle GmbH
Stefan und Felix Klümper GbR,hat die Muttergesellschaft,Stefan u. Felix Klümper GbR
"Südzucker AG Mannheim / Ochsenfurt, Werk Zeitz",hat die Muttergesellschaft,Südzucker AG Mannheim/Ochsenfurt Werk Zeitz
"Südzucker Bioethanol GmbH c/o Südzucker AG, Werk Zeitz",hat die Muttergesellschaft,Südzucker Bioethanol GmbH c/o Südzucker Werk Zeitz
Kläranlage Halle-Nord GmbH,hat die Muttergesellschaft,Kläranlage Halle-Nord GmbH & Co. Betreiber KG
Kläranlage Halle-Nord GmbH,hat den Betreiber,Hallesche Wasser und Abwasser GmbH (Telonon Abwasserbehandlungs GmbH)
TOTAL Raffinerie Mitteldeutschland GmbH (Raffinerie),hat die Muttergesellschaft,TOTAL Raffinerie Mitteldeutschland GmbH
TOTAL Raffinerie Mitteldeutschland GmbH (POX/Methanol),hat die Muttergesellschaft,TOTAL Raffinerie Mitteldeutschland GmbH
TRIMET ALUMINIUM AG NL Harzgerode,hat die Muttergesellschaft,TRIMET ALUMINIUM AG
UHU GmbH & Co. KG Betriebsstätte Wolfen,hat die Muttergesellschaft,UHU GmbH & Co. KG
Umweltschutz Mitte GmbH & Co. KG,hat die Muttergesellschaft,Umweltschutz Mitte GmbH & Co.
VASA Kraftwerke-Pool GmbH & Co. KG; Stadtwerke Stendal,hat die Muttergesellschaft,"VASA Kraftwerke-Pool GmbH & Co. KG, Stadtwerke Stendal"
VASA Kraftwerke-Pool GmbH & Co. KG; Stadtwerke Stendal,hat den Betreiber,"Stadtwerke - Altmärkische Gas-, Wasser- und Elektrizitätswerke GmbH Stendal"
"WDI GmbH, Werk Rothenburg",hat die Muttergesellschaft,Westfälische Drahtindustrie GmbH
Zimmermann Entsorgung GmbH & Co.,hat die Muttergesellschaft,Zimmermann Entsorgung GmbH & Co. KG
Zuchtläuferproduktion Schwiesau,hat den Betreiber,Martina & Friedrich Neuling
Vinnolit Schkopau GmbH  Werk Schkopau,hat die Muttergesellschaft,Vinnolit Schkopau GmbH
Gasturbinen UGS Bad Lauchstädt VNG - Verbundnetz Gas Aktiengesellschaft,hat den Betreiber,VNG - Verbundnetz Gas Aktiengesellschaft
ROMONTA  Amsdorf,hat die Muttergesellschaft,ROMONTA GmbH
Mumsdorf,hat die Muttergesellschaft,MIBRAG mbH
