firma1,beziehung,firma2
Deponie Am Bastwald Entsorgungszentrum Vogelsberg Betreiber: Zweckverband Abfallwirtschaft Vogelsbergkreis,hat den Betreiber,Abfallentsorgungsgesellschaft Vogelsberg mbH
Deponie Aßlar,hat die Muttergesellschaft,Abfallwirtschaft Lahn-Dill
CSL  Behring GmbH,hat den Betreiber,Dr. Roland Martin
Buderus Guss GmbH,hat die Muttergesellschaft,Buderuss Guss GmbH
Didier-Werke AG,hat den Betreiber,Didier Werke AG
Deponie Reiskirchen,hat die Muttergesellschaft,Kreisausschuss Landkreis Gießen Fachdienst Abfallwirtschaft z.H. Herrn Habenicht
Deponie Reiskirchen,hat den Betreiber,Fachdienst Abfallwirtschaft
Deponie Beselich,hat die Muttergesellschaft,Abfallwiirtschaftsbetrieb Limburg -  Weilburg (AWB)
Deponie Beselich,hat den Betreiber,AbfallWirtschaftsbetrieb Limburg-Weilburg
Diabastagebau Philippstein,hat die Muttergesellschaft,Diabaswerk Philippstein GmbH
Dockweiler Chemicals GmbH,hat die Muttergesellschaft,Dockweiler Chemicals GmbH Dr. Andreas Salzmann
Doering GmbH,hat den Betreiber,Bernhard Cloos
Elektro Zwischenl ZM-Elektronik Recycling GmbH,hat die Muttergesellschaft,ZM-Elektronik Recycling GmbH
Fritz Winter Eisengießerei GmbH & Co. KG,hat den Betreiber,Herr Barnstorf
"Hochwald Nahrungsmittel-Werke GmbH, Betrieb Hungen",hat die Muttergesellschaft,Hochwald Nahrungmittelwerke GmbH
"Hochwald Nahrungsmittel-Werke GmbH, Betrieb Hungen",hat den Betreiber,Hochwald Nahrungsmittel-Werke GmbH
Licher Privatbrauerei Ihring-Melchior GmbH,hat den Betreiber,Licher Privatbrauerei Jhring-Melchior GmbH
KAMAX GmbH & Co. KG,hat die Muttergesellschaft,Kamax GmbH & Co. KG
Legehennenhaltung LSL-Rhein-Main,hat die Muttergesellschaft,LSL-Rhein-Main Geflügelvermehrungsbetriebe GmbH & Co. KG
Legehennenhaltung LSL-Rhein-Main,hat den Betreiber,LSL-Rhein-Main Geflügelvermehrungsbetriebe GmbH & Co KG
Klärwerk Gießen,hat die Muttergesellschaft,MAB Mittelhessische Abwasserbetriebe
Klärwerk Gießen,hat den Betreiber,MWB Mittelhessische Wasserbetriebe
Novartis Marbach,hat die Muttergesellschaft,Novartis Vaccines and Diagnostics GmbH P. Denis Celentano
Novartis Marbach,hat den Betreiber,Novartis Vaccines and Diagnostics GmbH
Novartis GörzhäuserHof I,hat die Muttergesellschaft,Novartis Vaccines and Diagnostics GmbH P. Denis Celentano
Novartis GörzhäuserHof I,hat den Betreiber,Novartis Vaccines and Diagnostics GmbH
Otto Bieber GmbH & Co. KG,hat die Muttergesellschaft,Metall- undEloxalwerk Otto Bieber KG
"Schaefer Kalk GmbH & Co. KG, Werk Steeden",hat die Muttergesellschaft,Schaefer Kalk GmbH & Co. KG
Ruhl & Co.GmbH Metallveredelung,hat den Betreiber,"Stefan Ruhl, Frank Benner"
Schunk Kohlenstofftechnik,hat die Muttergesellschaft,Schunk Kohlenstofftechnik GmbH
Schrott MRV Marburger Rohstoffverwertung,hat die Muttergesellschaft,"MRV Marburger Rohstoffverwertung, Johannes Völker GmbH"
Schrott MRV Marburger Rohstoffverwertung,hat den Betreiber,Michael Völker / Erich Schmid
Sortier SITA Mitte GmbH,hat die Muttergesellschaft,SITA Mitte GmbH & Co. KG
Sortier SITA Mitte GmbH,hat den Betreiber,SITA Mitte GmbH & Co.KG
Seidel GmbH & Co Werk Fronhausen,hat die Muttergesellschaft,Seidel GmbH u. Co
Seidel GmbH & Co Werk Fronhausen,hat den Betreiber,Seidel GmbH & Co
ThyssenKrupp Nirosta,hat die Muttergesellschaft,ThyssenKrupp Nirosta GmbH
Seidel GmbH & Co,hat die Muttergesellschaft,Seidel GmbH u. Co
Zwischenl Baufeld-Oel GmbH - Tanklager Hungen-Nonnenroth,hat die Muttergesellschaft,Baufeld-Oel GmbH
Zwischenl Baufeld-Oel GmbH - Tanklager Hungen-Nonnenroth,hat den Betreiber,BAUFELD-OEL GmbH
Verbrennung SWG TREA,hat die Muttergesellschaft,Stadtwerke Gießen AG
Zwischenl FAEKAL Entsorgungstechnik Ruhl GmbH & Co. KG,hat die Muttergesellschaft,FAEKAL Entsorgungstechnik Ruhl GmbH & Co. KG
Zwischenl DESABAU-GmbH,hat die Muttergesellschaft,DESABAU GmbH
UCON AG Containersysteme KG,hat den Betreiber,"UCON AG, Containersysteme KG"
Südhessische Asphalt-Mischwerke GmbH & Co. KG,hat den Betreiber,Südhessische Asphalt-Mischwerke GmbH & Co. KG für Straßenbaustoffe
Zwischenl Straßenaufbruch stillgelegten nördlichen Endstück A 480,hat die Muttergesellschaft,Amt für Straßen- und Verkehrswesen Marburg
Clariant Produkte (Deutschland) GmbH Standort Wiesbaden,hat die Muttergesellschaft,Clariant Produkte (Deutschland) GmbH
Cytec Surface Specialities Germany GmbH & Co. KG Industriepark Kalle-Albert,hat die Muttergesellschaft,Cytec Surface Specalities Germany GmbH & Co. KG
Cytec Surface Specialities Germany GmbH & Co. KG Industriepark Kalle-Albert,hat den Betreiber,Cytec Surface Specialties Germany GmbH
Braun GmbH,hat den Betreiber,Christian Kral
Biomasse Rhein-Main GmbH (MVV O&M),hat die Muttergesellschaft,Biomasse Rhein-Main GmbH
"Zwischenl, Tanklager Karo As Umweltschutz GmbH",hat die Muttergesellschaft,Karo As Umweltschutz GmbH
"Dyckerhoff AG, Werk Amöneburg",hat die Muttergesellschaft,Dyckerhoff AG
"Dyckerhoff AG, Werk Amöneburg",hat den Betreiber,Wolfgang Bauer
Deponie Dyckerhoffbruch,hat die Muttergesellschaft,Entsorgungsbetriebe der LHST Wiesbaden (ELW)
Deponie Dyckerhoffbruch,hat den Betreiber,Entsorgungsbetriebe der LH Wiesbaden (ELW)
Deponie Brandholz,hat die Muttergesellschaft,Rhein-Main Deponienachsorge GmbH
Deponie Brandholz,hat den Betreiber,Rhein-Main Deponie GmbH
Eppsteinfoils GmbH & Co KG,hat die Muttergesellschaft,Eppsteinfoils Holding GmbH
Hauptklärwerk Wiesbaden,hat die Muttergesellschaft,Entsorgungsbetriebe der LHST Wiesbaden
InfraServ (Kalle-Albert),hat die Muttergesellschaft,InfraServ GmbH & Co Wiesbaden KG
GAUL GmbH,hat den Betreiber,Gaul GmbH
Metallveredelungsgesellschaft  mbH,hat den Betreiber,Walter Stickel
"Fehr Umwelt Hessen GmbH, Betriebsstätte Kalle-Albert",hat die Muttergesellschaft,Fehr Umwelt Hessen GmbH & Co KG
"AQA gem. Gesellschaft für Arbeit, Qualif. und Ausb. mbH",hat den Betreiber,AQAGmbH
WIEGLA GmbH,hat die Muttergesellschaft,"SAGER AG Dürrenäsch, Schweiz"
SIT-Selbsthilfe im Taunus e. V.,hat den Betreiber,SiT-Selbsthilfe im Taunus
InfraServ GmbH & Co. Höchst KG,hat die Muttergesellschaft,Infraserv GmbH & Co. Höchst KG
WeylChem Höchst GmbH Standort Industriepark Höchst,hat die Muttergesellschaft,WeylChem Höchst GmbH
Kläranlage Hanau,hat die Muttergesellschaft,Verkehr und Entsorgung Eigenbetrieb der Stadt Hanau
Kläranlage Hanau,hat den Betreiber,Hanau Verkehr und Entsorgung Eigenbetrieb der Stadt Hanau
Bo-NaFaTec (bosystems),hat die Muttergesellschaft,Bo-NaFaTec GmbH & Co. KG
Bo-NaFaTec (bosystems),hat den Betreiber,Bo-NaFaTec GmbH & CoKG
Wehrhold Oberflächentechnik,hat die Muttergesellschaft,Wehrhold Oberflächentechnik GmbH
Wehrhold Oberflächentechnik,hat den Betreiber,Wehrhold Oberflächentechnik GmbH (Werk 5)
Kläranlage Wiesbaden-Biebrich,hat die Muttergesellschaft,Entsorgungsbetriebe der LHST Wiesbaden
Energieversorgung SCA Packaging B+T Energie GmbH,hat die Muttergesellschaft,B+T Energie GmbH
Kläranlage Marburg-Cappel,hat die Muttergesellschaft,Abwasserverband Marburg
HIM GmbH,hat die Muttergesellschaft,Indaver Deutschland GmbH
AZ Electronic Materials (Germany) GmbH,hat die Muttergesellschaft,AZ Electronic Materials (Germany)  GmbH
Biogasanlage Hördemann,hat die Muttergesellschaft,Frank Hördemann
Abwasserverband Fulda Verbandsklärwerk Gläserzell,hat die Muttergesellschaft,Abwasserverband Fulda
Abwasserverband Fulda Verbandsklärwerk Gläserzell,hat den Betreiber,Kläranlage Fulda-Gläserzell
"KFW, Heizkraftwerk Mittelfeld",hat die Muttergesellschaft,Kasseler Fernwärme GmbH
ALBA Reststoff-Recycling GmbH & Co. KG,hat die Muttergesellschaft,ALBA AG
Atotech Deutschland,hat die Muttergesellschaft,Atotech Deutschland GmbH
Berliner Wasserbetriebe Klärwerk Ruhleben,hat die Muttergesellschaft,Berliner Wasserbetriebe (BWB)
BSR / Werk Nord,hat die Muttergesellschaft,Berliner Stadtreinigungsbetriebe Anstalt öffentlichen Rechts
BSR / RC-Hof Brunsbütteler Damm,hat die Muttergesellschaft,Berliner Stadtreinigungsbetriebe Anstalt öffenmtlichen Rechts
BSR / RC-Hof Nordring,hat die Muttergesellschaft,Berliner Stadtreinigungsbetriebe Anstalt öffentlichen Rechts
BSR /  RC-Hof Behmstraße,hat die Muttergesellschaft,Berliner Stadtreinigungsbetriebe Anstalt öffentlichen Rechts
BSR / RC-Hof Gradestraße,hat die Muttergesellschaft,Berliner Stadtreinigungsbetriebe Anstalt öffentlichen Rechts
Vattenfall Europe Berlin HKW Klingenberg,hat die Muttergesellschaft,Vattenfall Europe Berlin
Vattenfall Europe Berlin HKW Mitte,hat die Muttergesellschaft,Vattenfall Europe Berlin
Vattenfall Europe Berlin HKW Buch,hat die Muttergesellschaft,Vattenfall Europe Berlin
Vattenfall Europe Berlin HW Scharnhorststr.,hat die Muttergesellschaft,Vattenfall Europe Berlin
Vattenfall Europe Berlin BHKW Köpenick,hat die Muttergesellschaft,Vattenfall Europe Berlin
Vattenfall Europe Berlin  HKW Reuter,hat die Muttergesellschaft,Vattenfall Europe Berlin
Vattenfall Europe Berlin HKW Charlottenburg,hat die Muttergesellschaft,Vattenfall Europe Berlin
Vattenfall Europe Berlin HKW Moabit,hat die Muttergesellschaft,Vattenfall Europe Berlin
Vattenfall Europe Berlin HKW Lichterfelde,hat die Muttergesellschaft,Vattenfall Europe Berlin
Vattenfall Europe Berlin  HKW Wilmersdorf,hat die Muttergesellschaft,Vattenfall Europe Berlin
Vattenfall Europe Berlin HKW Reuter-West,hat die Muttergesellschaft,Vattenfall Europe Berlin
impress décor GmbH,hat den Betreiber,impress decor GmbH
HKW Adlershof,hat die Muttergesellschaft,BTB Blockheizkraftwerks- Träger- und Betreibergesellschaft mbH Berlin
HKW Adlershof,hat den Betreiber,s.o.
GMB Gießerei u. Modellbau GmbH,hat den Betreiber,Herr Spangenberg
RWE  Innogy Cogen GmbH Holzheizkraftwerk Neukölln,hat die Muttergesellschaft,RWE  Innogy Cogen GMBH
Kraft Foods Deutschland GmbH Werk Berlin,hat die Muttergesellschaft,Kraft Foods Deutschland GmbH
"Nehlsen GmbH & Co. KG Niederlassung Nord-Ost, Betriebsstätte Berlin",hat die Muttergesellschaft,Nehlsen GmbH & Co. KG
REXAM Beverage Can Berlin GmbH,hat den Betreiber,Rexam Beverage Can Berlin GmbH
Siemens AG,hat den Betreiber,Siemens AG Schaltwerk
Schempp & Decker Präzisionsteile und Oberflächentechnik Gmbh,hat die Muttergesellschaft,Schempp & Decker Präzisionsteile und Oberflächentechnik GmbH
Presswood Deutschland GmbH,hat den Betreiber,BWP Betreibergemeinschaft Werzalit/Presswood
Südzucker Werk Regensburg,hat die Muttergesellschaft,SÜDZUCKER AG
Märker Kalk GmbH,hat die Muttergesellschaft,Märker Zement GmbH
Bauer Umwelt GmbH NL Süd,hat die Muttergesellschaft,BAUER Spezialtiefbau GmbH
Bauer Umwelt GmbH NL Süd,hat den Betreiber,Bauer Umwelt GmbH
Klärwerk Würzburg,hat die Muttergesellschaft,Entwässerungsbetrieb Würzburg (EBW) - Eigenbetrieb der Stadt Würzburg -
Biomasse-Kraftwerk Großaitingen,hat die Muttergesellschaft,Evonik STEAG GmbH
Biomasse-Kraftwerk Großaitingen,hat den Betreiber,Evonik New Energies GmbH
Kläranlage Hof,hat die Muttergesellschaft,Abwasserverband Saale
Gerresheimer Tettau GmbH,hat die Muttergesellschaft,Gerresheimer AG
Klärwerk Kulmbach,hat die Muttergesellschaft,Stadtwerke Kulmbach
Heizkraftwerk Erlangen,hat die Muttergesellschaft,Erlanger Stadtwerke AG
MAN Nutzfahrzeuge AG Geschäftseinheit Motoren,hat die Muttergesellschaft,MAN Nutzfahrzeuge AG
Verticalgalva Feuerverzinkung GmbH,hat die Muttergesellschaft,Verticalgalva Voigt & Müller GmbH
Gruppenklärwerk Lauben,hat die Muttergesellschaft,Zweckverband Abwasserverband Kempten (Allgäu)
Wiegel Breitengüßbach,hat die Muttergesellschaft,Wiegel Breitengüßbach Feuerverzinken GmbH
Excella GmbH,hat die Muttergesellschaft,Fareva Deutschland GmbH
Kulmbacher Brauerei AG - Betriebsstätte 1,hat die Muttergesellschaft,Kulmbacher Brauerei AG
Klärwerk Rosenheim,hat die Muttergesellschaft,Stadtentwässerung Rosenheim
SGD Kipfenberg GmbH,hat die Muttergesellschaft,SGD Germany GmbH
"E.ON Kraftwerke GmbH, Kraftwerk Irsching",hat die Muttergesellschaft,E.ON Kraftwerke GmbH
Mineralölhandel Hans Schmidt GmbH & Co. KG,hat die Muttergesellschaft,"Mineralölhandel Hans Schmidt GmbH & Co. KG Mühltalstr. 24, 90766 Fürth"
Bayerische Milchindustrie eG Werk Windsbach,hat die Muttergesellschaft,Bayerische Milchindustrie eG
Zementwerk Rohrdorf,hat die Muttergesellschaft,Südbayerisches Portland-Zementwerk Gebr. Wiesböck & Co. GmbH
CREATON Werk Roggden,hat die Muttergesellschaft,CREATON AG
"Robert Bosch GmbH, Bamberg Plant",hat die Muttergesellschaft,Robert Bosch GmbH
BAUFELD-OEL GmbH,hat die Muttergesellschaft,Puralube Services GmbH
M-real Stockstadt GmbH,hat die Muttergesellschaft,M-real Deutsche Holding
M-real Stockstadt GmbH,hat den Betreiber,Bernhard Jäggi
INTERSEROH Franken Rohstoff GmbH,hat die Muttergesellschaft,INTERSEROH Hansa Recycling GmbH
Echter Druck GmbH,hat die Muttergesellschaft,appl druck GmbH & Co. KG
"Linde AG, Geschäftsbereich Linde Gas, Werk Burghausen",hat die Muttergesellschaft,"Linde AG, Geschäftsbereich Linde Gas"
appl Druck GmbH & Co. KG,hat die Muttergesellschaft,appl druck GmbH & Co. KG
Neenah Gessner GmbH Werk Bruckmühl,hat die Muttergesellschaft,Neenah Gessner GmbH
Neenah Gessner GmbH Werk Weidach,hat die Muttergesellschaft,Neenah Gessner GmbH
Mineralölhandel Hans Schmidt GmbH & Co. KG,hat die Muttergesellschaft,"Mineralölhandel Hans Schmidt GmbH & Co. KG Mühltalstr. 24, 90766 Fürth"
Kemptener Eisengießerei Adam Hönig AG,hat die Muttergesellschaft,Kemptener Eisengießerei  Adam Hönig AG
SWM Heizkraftwerk Freimann,hat die Muttergesellschaft,SWM Services GmbH
SWM Heizkraftwerk Freimann,hat den Betreiber,SWM Services GmbH Technik u. Produktion
Kurtz GmbH (Werk I),hat die Muttergesellschaft,Kurtz GmbH
"Zott-Zoma, Werk 4 + 5",hat die Muttergesellschaft,Zott GmbH & Co. KG
Milchwerke Schwaben Werk Neu-Ulm,hat die Muttergesellschaft,Milchwerke Schwaben eG
Südzucker Werk Rain,hat die Muttergesellschaft,SÜDZUCKER AG
Schweinezucht Strehle,hat die Muttergesellschaft,Bernhild und Hermann Strehle
Zott GmbH & Co. KG / Werk II,hat die Muttergesellschaft,Zott GmbH & Co. KG
"Delphi Deutschland GmbH, Petri-DN GmbH, RUAG Ammotec GmbH",hat die Muttergesellschaft,SGHG (Stadeln Genehmigungshaltergesellschaft mbH)
Farm Hubertus,hat die Muttergesellschaft,Hubertushof-Bodenei GmbH & Co. KG
Gebrüder Lang GmbH,hat die Muttergesellschaft,Gebrüder Lang GmbH Papierfabrik
Bayern-Ei Farm Vollnbach,hat die Muttergesellschaft,Bayern Ei Ettling GmbH & Co. KG
AHKW Geiselbullach,hat die Muttergesellschaft,GfA A.d.ö.R.
Hamberger Industriewerke GmbH,hat den Betreiber,Hamberger Flooring GmbH & Co. KG
Bayern Ei Ettling GmbH & Co. KG - Farm Niederharthausen,hat die Muttergesellschaft,Bayern Ei Ettling GmbH & Co. KG
Universität Regensburg Technische Zentrale,hat die Muttergesellschaft,Freistaat Bayern
Universität Regensburg Technische Zentrale,hat den Betreiber,Universität Regensburg
Heizkraftwerk Sandreuth,hat die Muttergesellschaft,N-ERGIE Aktiengesellschaft
Heizkraftwerk Sandreuth,hat den Betreiber,GeneraTec GmbH
Südzucker Werk Plattling,hat die Muttergesellschaft,SÜDZUCKER AG
Gerresheimer Lohr GmbH,hat die Muttergesellschaft,Gerresheimer AG
Rexroth Guss GmbH,hat die Muttergesellschaft,Bosch Rexroth AG
Welzenbach Entsorgung GmbH,hat die Muttergesellschaft,CCR Center - Welzenbach Entsorgung GmbH
"Cognis GmbH, Standort Illertissen",hat die Muttergesellschaft,Cognis GmbH
TBA Plattling,hat die Muttergesellschaft,ZTS-Betriebe Plattling-Rötz
Danone GmbH Werk Ochsenfurt,hat die Muttergesellschaft,Danone GmbH München
Südzucker Werk Ochsenfurt,hat die Muttergesellschaft,SÜDZUCKER AG
Walhalla Kalk GmbH & Co. KG,hat die Muttergesellschaft,HeidelbergCement AG
TBA Rötz,hat die Muttergesellschaft,ZTS Betriebe Plattling-Rötz
Spanplattenwerk 3,hat die Muttergesellschaft,Pfleiderer Holzwerkstoffe GmbH & Co. KG
Spanplattenwerk 3,hat den Betreiber,wodego GmbH
Müllheizkraftwerk Rosenheim,hat die Muttergesellschaft,Stadtwerke Rosenheim GmbH & Co. KG
Müllheizkraftwerk Würzburg,hat die Muttergesellschaft,Zweckverband Abfallwirtschaft Raum Würzburg
Müllkraftwerk,hat die Muttergesellschaft,Abfallwirtschaftsbetrieb des Landkreises Neu-Ulm
Müllpyrolyseanlage Burgau,hat die Muttergesellschaft,Landkreis Günzburg - Kreisabfallwirtschaftsbetrieb
Käserei Denklingen GmbH Betriebsstätte Schönau,hat die Muttergesellschaft,Käserei Denklingen GmbH
HANSA Metallwerke AG Werk Burglengenfeld,hat die Muttergesellschaft,HANSA Metallwerke AG
"Siemens AG, I BT ET",hat die Muttergesellschaft,Siemens AG
Südzucker Werk Regensburg,hat die Muttergesellschaft,SÜDZUCKER AG
monta Klebebandwerk GmbH,hat den Betreiber,Monta Klebebandwerk GmbH
MHKW Coburg,hat die Muttergesellschaft,Zweckverband für Abfallwirtschaft in Nordwest-Oberfranken
Deponie Sieghart Soyen,hat die Muttergesellschaft,Landkreis Rosenheim
Neue Glaswerke Großbreitenbach GmbH & Co.KG Werk Steinbach am Wald,hat die Muttergesellschaft,Neue Glaswerke Großbreitenbach GmbH & Co.KG
UPM-Kymmene Werk Schongau,hat die Muttergesellschaft,UPM-Kymmene Papier GmbH & Co. KG
Werk Bruckmann Tiefdruck,hat die Muttergesellschaft,Tiefdruck Schwann-Bagel GmbH & Co. KG
Deponie Asbach,hat die Muttergesellschaft,Abfallwirtschaftsverband Isar-Inn
Industrie Center Obernburg,hat die Muttergesellschaft,Kraftwerk Obernburg GmbH
Polyamidbetrieb Industrie Center Obernburg,hat die Muttergesellschaft,Polyamide High Performance GmbH Industrie Center Obernburg
"SCHWENK Zement KG, Werk Karlstadt",hat die Muttergesellschaft,SCHWENK Zement KG
AR - Recycling GmbH,hat den Betreiber,AR -  Recycling GmbH
Klärwerk Nürnberg I,hat die Muttergesellschaft,Stadt Nürnberg - Stadtentwässerung und Umweltanalytik (SUN)
Klärwerk Erlangen,hat die Muttergesellschaft,Stadt Erlangen - Entwässerungsbetrieb (EBE)
ZV Schwandorf-Wackersdorf,hat die Muttergesellschaft,ZV SCHWANDORF-WACKERSDORF SITZ SCHWANDORF
Heizkraftwerk Franziskanergasse Nummer der Betriebseinrichtung nach TEHG: BY_700-0053-0001,hat die Muttergesellschaft,Stadtwerke Augsburg Energie GmbH
Farm Thannhof,hat die Muttergesellschaft,Wimex Agrarprodukte Import & Export GmbH
"Linde Material Handling GmbH, Werk I Eisengießerei",hat die Muttergesellschaft,Linde Material Handling GmbH
BMW Werk 6.1 Regensburg,hat die Muttergesellschaft,Bayerische Motorenwerke AG
Farm Tiefenhof,hat die Muttergesellschaft,Wimex Agrarprodukte Import & Export GmbH
Verzinkerei Aschaffenburg Henssler GmbH & Co. KG,hat die Muttergesellschaft,Verzinkerei Aschaffenburg Henssler GmbH  Co.KG
Constantia Hueck Folien GmbH & Co. KG,hat die Muttergesellschaft,Constantia Flexibles
"REHAU AG + Co, Werk 15 Feuchtwangen",hat die Muttergesellschaft,REHAU AG + Co
"REHAU AG + Co, Werk Regnitzlosauer Str.",hat die Muttergesellschaft,REHAU AG + Co
Gemeinschaftskläranlage Bayer. Untermain GmbH,hat die Muttergesellschaft,Gemeinschaftskläranlage Bayerischer Untermain GmbH
Hochland Deutschland GmbH Schongau,hat die Muttergesellschaft,Hochland Deutschland GmbH Heimenkirch
"Federal-Mogul Nürnberg GmbH, Werk 2",hat die Muttergesellschaft,Federal-Mogul Nürnberg GmbH
"AlzChem Hart GmbH, Werk Hart I",hat die Muttergesellschaft,AlzChem Hart GmbH
"Honsel AG, Druckguß Nürnberg, Werk 2",hat die Muttergesellschaft,"Honsel AG, Meschede"
"Honsel AG, Druckguß Nürnberg, Werk 2",hat den Betreiber,"Honsel AG, Druckguß Werk Nürnberg"
Lech-Stahlwerk GmbH,hat die Muttergesellschaft,Lech-Stahlwerke GmbH
Vinnolit GmbH & Co. KG Burgkirchen,hat die Muttergesellschaft,Vinnolit GmbH & Co. KG
TBA Walsdorf,hat die Muttergesellschaft,Zweckverband Tierkörperbeseitigung Nordbayern
"Clariant Produkte (Deutschland) GmbH, Werk Gendorf",hat die Muttergesellschaft,Clariant Produkte (Deutschland) GmbH
"Technocell Dekor GmbH & Co. KG, Werk Günzach",hat die Muttergesellschaft,Technocell Dekor GmbH & Co. KG Ein Unternehmen der Felix Schoeller Gruppe
Müllheizkraftwerk Burgkirchen,hat die Muttergesellschaft,Zweckverband Abfallverwertung Südostbayern
HUHTAMAKI  Ronsberg,hat die Muttergesellschaft,HUHTAMAKI
HUHTAMAKI  Ronsberg,hat den Betreiber,Dr. Ulf Wienböker
"E.ON Kraftwerke GmbH, Kraftwerk Franken I",hat die Muttergesellschaft,E.ON Kraftwerke GmbH
Südstärke GmbH Werk Sünching,hat die Muttergesellschaft,Südstärke GmbH
Verbandsklärwerk Eitting,hat die Muttergesellschaft,Abwasserzweckverband Erdinger Moos
Zweckverband Zentralkläranlage Ingolstadt - Klärwerk,hat die Muttergesellschaft,Zweckverband Zentralkläranlage Ingolstadt
BMW Werk 1.1,hat die Muttergesellschaft,Bayerische Motorenwerke AG
"INVISTA Resins & Fibers GmbH, Werk Gersthofen",hat die Muttergesellschaft,INVISTA Resins & Fibers GmbH
Kläranlage Regensburg,hat die Muttergesellschaft,Stadt Regensburg - Tiefbauamt - SEW
Klärwerk München II - Gut Marienhof,hat die Muttergesellschaft,"Landeshauptstadt München, Münchner Stadtentwässerung"
Rotschlammdeponie (VAW),hat die Muttergesellschaft,SGN mbH
Grundlastwerk,hat die Muttergesellschaft,GKS GmbH
Aleris Recycling GmbH Werk Töging,hat die Muttergesellschaft,Aleris Recycling (German Works) GmbH
Klärwerk München I Gut Großlappen,hat die Muttergesellschaft,"Landeshauptstadt München, Münchner Stadtentwässerung"
Präzissionsdruckguss Roding GmbH & Co. KG,hat die Muttergesellschaft,Eisenmann Druckguss GmbH
SWM Heizkraftwerk Süd,hat die Muttergesellschaft,SWM Services GmbH
SWM Heizkraftwerk Süd,hat den Betreiber,SWM Services GmbH Technik u. Produktion
Deponie Weiherhammer Kalkhäusl,hat die Muttergesellschaft,Landkreis Neustadt a.d. Waldnaab
Öko Power GmbH & Co. Biogas KG,hat die Muttergesellschaft,Öko Power GmbH & Co. Biogas KG Johann Emter
ZV ISAR-LOISACHGRUPPE SITZ WOLFRATSHAUSEN,hat die Muttergesellschaft,Abwasserverband Isar-Loisachgruppe
"Süd-Chemie, Katalysatorwerk Heufeld",hat die Muttergesellschaft,Süd-Chemie AG
Nachtmann GmbH Werk Weiden,hat die Muttergesellschaft,F.X. Nachtmann Bleikristallwerke GmbH
NEUMARKT/OPF.,hat die Muttergesellschaft,Stadt Neumarkt i.d.Opf.
Bayern-Ei Farm Ettling,hat die Muttergesellschaft,Bayern Ei Ettling GmbH & Co. KG
"Georg Huber, Inh. Josef Rappl GmbH & Co. KG Schotter- und Asphaltmischwerk Winklarn",hat die Muttergesellschaft,"Georg Huber, Inh. Josef Rappl GmbH & Co. KG"
Farm Zottelhof,hat die Muttergesellschaft,Jura Frisch-Ei GmbH Pächter: Manfred Brenner
Vinnolit Werk Burghausen,hat die Muttergesellschaft,Vinnolit GmbH & Co. KG
Vinnolit Werk Burghausen,hat den Betreiber,"Vinnolit GmbH & Co. KG, Burghausen"
"Linde Material Handling GmbH, Werk IV",hat die Muttergesellschaft,Linde Material Handling GmbH
HeidelbergCement AG Zementwerk Lengfurt,hat die Muttergesellschaft,SpohnCement GmbH
HeidelbergCement AG Zementwerk Lengfurt,hat den Betreiber,HeidelbergCement AG
Erdgasverdichterstation MEGAL Rimpar,hat die Muttergesellschaft,MEGAL GmbH & Co. KG
Erdgasverdichterstation EGT Rimpar,hat die Muttergesellschaft,E.ON Gastransport AG & Co. KG (EGT)
Erdgasverdichterstation EGT Rimpar,hat den Betreiber,E.ON Gastransport AG & Co. KG
Kögel Fahrzeugwerke GmbH Werk Burtenbach,hat die Muttergesellschaft,Kögel Fahrzeugwerke GmbH
HD Wahl GmbH,hat den Betreiber,Hans Dieter Wahl
Stegmann Emmentaler Käsereien GmbH / Werk Altusried,hat die Muttergesellschaft,Stegmann Emmentaler Käsereien GmbH
Erdgasverdichterstation EGT Waidhaus,hat die Muttergesellschaft,E.ON Gastransport AG & Co. KG (EGT)
Erdgasverdichterstation EGT Waidhaus,hat den Betreiber,E.ON Gastransport AG & Co. KG
Kalkwerk Saal,hat die Muttergesellschaft,Fels-Werke GmbH
Allgäuland-Käsereien GmbH Betrieb Bad Wörishofen,hat die Muttergesellschaft,Allgäuland-Käsereien GmbH
Deponie Stockstadt,hat die Muttergesellschaft,"Mülldeponie KG, Helmut Bär VGmbH & Co. KG"
OSRAM GmbH Werk Schwabmünchen,hat die Muttergesellschaft,OSRAM GmbH
Süd-West-Chemie GmbH,hat die Muttergesellschaft,SIRE GmbH
DEHN + SÖHNE GmbH + Co. KG,hat die Muttergesellschaft,DEHN + SÖHNE GmbH + Co. KG.
Erdgasverdichterstation MEGAL Waidhaus,hat die Muttergesellschaft,MEGAL GmbH & Co. KG
Werk Wackersdorf,hat die Muttergesellschaft,Eckart GmbH
Farm Stadl,hat die Muttergesellschaft,Wimex Agrarprodukte Import & Export GmbH
CREATON Werk Wertingen,hat die Muttergesellschaft,CREATON AG
Brüterei Süd - Farm Kürnberg,hat die Muttergesellschaft,Brüterei Süd ZN der BWE-Brüterei Weser-Ems GmbH & Co. KG
OSRAM GmbH Glaswerk Augsburg,hat die Muttergesellschaft,OSRAM GmbH
Brüterei Süd - Farm Moosham,hat die Muttergesellschaft,Brüterei Süd ZN der BWE-Brüterei Weser-Ems GmbH & Co. KG
Kläranlage Grüneck,hat die Muttergesellschaft,Abwasserzweckverband Unterschleißheim Eching und Neufahrn
